number,kss,pupil,Diahyoujunn,Pupil_LowFreq,eeg,hr,eda,SCR,SCL_Ansei
27,6,4.91,0.276155709,,,991,6.928557871,0.067686787,-0.802764658
28,6,4.93,0.311116144,,,991,6.937717649,0.112654156,-0.78285963
29,6,4.985,0.407257341,,,991,6.94508202,0.15086236,-0.766856185
30,6,4.989,0.414249428,,,991,6.954347536,0.201328193,-0.746721381
31,6,5.023,0.473682168,,,991,6.961777113,0.24298037,-0.730576239
32,6,5.077,0.568075343,,,991,6.969240073,0.286002291,-0.714358551
33,6,5.057,0.533114908,,,991,6.978579671,0.33679024,-0.69406276
34,6,5.096,0.601287757,,,991,6.986069841,0.375933336,-0.677785945
35,6,5.112,0.629256105,,,991,6.993592932,0.414992947,-0.661437587
36,6,5.107,0.620515996,,,991,7.001126028,0.453543963,-0.645067487
37,6,5.093,0.596043692,,,991,7.01050361,0.504266687,-0.624689154
38,6,5.119,0.641492257,,,991,7.017995731,0.545327336,-0.608408097
39,6,5.116,0.636248192,,,959,7.025483181,0.586009044,-0.592137192
40,6,5.106,0.618767974,,,959,7.034854197,0.635882051,-0.571773125
41,6,5.151,0.697428954,,,959,7.042376441,0.674042912,-0.555426609
42,6,5.116,0.636248192,,,959,7.049894499,0.711674141,-0.539089188
43,6,5.126,0.65372841,,,959,7.057415977,0.748297771,-0.522744338
44,6,5.112,0.629256105,,,959,7.066918983,0.797411586,-0.502093446
45,6,5.118,0.639744236,,,959,7.074600403,0.839341964,-0.485401024
46,6,5.095,0.599539735,,,959,7.084271121,0.892635934,-0.464385681
47,6,5.09,0.590799626,,,959,7.094022177,0.945094893,-0.443195754
48,6,5.088,0.587303583,,,959,7.101838526,0.981173835,-0.426210119
49,6,5.076,0.566327322,,,959,7.109699712,1.014677991,-0.409127052
50,6,5.084,0.580311496,,,959,7.119609033,1.053930122,-0.387593202
51,6,5.126,0.65372841,,,959,7.121595653,1.061285049,-0.383276096
52,6,5.093,0.596043692,,,959,7.129538903,1.089894148,-0.366014696
53,6,5.138,0.674704671,,,959,7.137500617,1.116477777,-0.348713171
54,6,5.129,0.658972475,,,959,7.147489404,1.144335807,-0.327006633
55,6,5.166,0.72364928,,,959,7.155510526,1.165753104,-0.309576009
56,6,5.179,0.746373563,,,959,7.163593327,1.194693051,-0.292011352
57,6,5.202,0.786578064,,,959,7.171723217,1.227966086,-0.274344366
58,6,5.206,0.793570151,,,959,7.17988219,1.262748855,-0.256614179
59,6,5.234,0.84251476,,,959,7.190106136,1.3040525,-0.234396619
60,6,5.235,0.844262782,,,959,7.198255288,1.323117461,-0.216687777
61,6,5.275,0.914183653,,,959,7.206401759,1.336477473,-0.198984758
62,6,5.236,0.846010804,,,959,7.214553448,1.346527013,-0.181270399
63,6,5.237,0.847758826,,,959,7.22475731,1.358082477,-0.159096486
64,6,5.251,0.87223113,,,959,7.232947254,1.371551851,-0.141298995
65,6,5.258,0.884467283,,,959,7.241132319,1.381405033,-0.123512109
66,6,5.241,0.854750913,,,959,7.249318592,1.389998424,-0.105722599
67,6,5.254,0.877475196,,,959,7.259621167,1.40319134,-0.08333417
68,6,5.239,0.851254869,,,948,7.269992368,1.418537469,-0.060796612
69,6,5.241,0.854750913,,,948,7.278324384,1.432936245,-0.042690387
70,6,5.245,0.861743,,,948,7.286689234,1.446141428,-0.024512811
71,6,5.236,0.846010804,,,948,7.297142129,1.446751217,-0.001797726
72,6,5.227,0.830278608,,,948,7.305525452,1.440336305,0.016419992
73,6,5.199,0.781333999,,,948,7.316045394,1.42576869,0.039280778
74,6,5.192,0.769097846,,,948,7.324170873,1.415894791,0.056938179
75,6,5.183,0.75336565,,,948,7.331986096,1.409557871,0.073921366
76,6,5.202,0.786578064,,,948,7.341493337,1.397538912,0.094581461
77,6,5.2,0.78308202,,,948,7.348800179,1.387880125,0.110459888
78,6,5.2,0.78308202,,,948,7.356075903,1.379811743,0.126270696
79,6,5.259,0.886215304,,,948,7.364980661,1.371390906,0.14562154
80,6,5.199,0.781333999,,,948,7.371809094,1.367265188,0.160460343
81,6,5.215,0.809302347,,,948,7.378501285,1.363505855,0.175003079
82,6,5.232,0.839018717,,,948,7.386903675,1.350549382,0.193262233
83,6,5.22,0.818042456,,,948,7.38858091,1.347060279,0.196907015
84,6,5.234,0.84251476,,,948,7.395189437,1.334582752,0.211267942
85,6,5.219,0.816294434,,,948,7.401748958,1.319738108,0.225522376
86,6,5.247,0.865239043,,,948,7.40961582,1.302469991,0.242617777
87,6,5.237,0.847758826,,,948,7.415652053,1.289706447,0.255735058
88,6,5.279,0.92117574,,,948,7.42303575,1.271389367,0.271780499
89,6,5.317,0.987600567,,,948,7.42881923,1.256058154,0.284348525
90,6,5.302,0.96138024,,,948,7.436206696,1.235063086,0.300402157
91,6,5.331,1.012072871,,,948,7.440661486,1.221631385,0.310082819
92,6,5.324,0.999836719,,,948,7.448023957,1.198567015,0.326082133
93,6,5.321,0.994592654,,,948,7.453878798,1.180538581,0.338805233
94,6,5.306,0.968372327,,,948,7.459620642,1.164465032,0.351282779
95,6,5.314,0.982356501,,,948,7.465328758,1.149393201,0.363687031
96,6,5.298,0.954388153,,,948,7.472474838,1.131735312,0.37921611
97,6,5.29,0.940403979,,,950,7.477956116,1.117461825,0.391127422
98,6,5.25,0.870483108,,,950,7.483210752,1.102788689,0.402546221
99,6,5.241,0.854750913,,,950,7.489569064,1.085753088,0.416363409
100,6,5.185,0.756861694,,,950,7.494438434,1.072752675,0.42694499
101,6,5.204,0.790074107,,,950,7.500505157,1.05783558,0.440128528
102,6,5.197,0.777837955,,,950,7.505271663,1.046997132,0.450486576
103,6,5.195,0.774341911,,,950,7.509864387,1.03690217,0.46046698
104,6,5.194,0.77259389,,,950,7.514414356,1.026937129,0.470354476
105,6,5.14,0.678200714,,,950,7.520289689,1.01155084,0.483122104
106,6,5.176,0.741129498,,,950,7.523861463,1.001414098,0.490883893
107,6,5.188,0.762105759,,,950,7.529852942,0.983863815,0.503903918
108,6,5.184,0.755113672,,,950,7.53582388,0.964481932,0.516879308
109,6,5.223,0.823286521,,,950,7.540500037,0.947843407,0.527041019
110,6,5.252,0.873979152,,,950,7.545224533,0.929455139,0.537307776
111,6,5.264,0.894955413,,,950,7.549963402,0.909270307,0.547605768
112,6,5.279,0.92117574,,,950,7.55460647,0.891817778,0.557695574
113,6,5.284,0.929915848,,,950,7.560291148,0.873727451,0.570048894
114,6,5.304,0.964876284,,,950,7.56477876,0.859871642,0.57980088
115,6,5.32,0.992844632,,,950,7.570301949,0.844835571,0.59180327
116,6,5.312,0.978860458,,,950,7.575890645,0.828386656,0.603948013
117,6,5.33,1.01032485,,,950,7.575890645,0.828386656,0.603948013
118,6,5.326,1.003332763,,,950,7.581456392,0.812969255,0.616042884
119,6,5.323,0.998088697,,,950,7.585885634,0.801823713,0.625668027
120,6,5.318,0.989348588,,,950,7.590102972,0.789877567,0.634832685
121,6,5.284,0.929915848,,,827,7.594091115,0.777274662,0.643499278
122,6,5.268,0.9019475,,,827,7.598895349,0.761174848,0.653939313
123,6,5.229,0.833774651,,,827,7.602533744,0.747947405,0.661845875
124,6,5.293,0.945648044,,,827,7.6069954,0.736491456,0.671541458
125,6,5.212,0.804058281,,,827,7.610441248,0.730231656,0.679029598
126,6,5.206,0.793570151,,,827,7.614486528,0.724224774,0.687820357
127,6,5.207,0.795318173,,,827,7.617651983,0.717772739,0.694699176
128,6,5.202,0.786578064,,,827,7.620849811,0.705099416,0.701648347
129,6,5.189,0.763853781,,,827,7.624008633,0.689513301,0.708512751
130,6,5.176,0.741129498,,,827,7.627118905,0.672042023,0.715271653
131,6,5.203,0.788326086,,,827,7.630859807,0.652926822,0.723400972
132,6,5.216,0.811050369,,,827,7.634359825,0.641897525,0.731006828
133,6,5.242,0.856498934,,,827,7.63709728,0.632684831,0.736955566
134,6,5.261,0.889711348,,,827,7.63975411,0.625971176,0.742729098
135,6,5.289,0.938655957,,,827,7.643347948,0.613359973,0.750538832
136,6,5.295,0.949144088,,,827,7.647135333,0.598852511,0.758769162
137,6,5.312,0.978860458,,,827,7.650241943,0.588094044,0.765520107
138,6,5.343,1.033049133,,,827,7.653409716,0.577556175,0.772403966
139,6,5.353,1.05052935,,,827,7.656561058,0.568294561,0.779252116
140,6,5.328,1.006828806,,,827,7.660621605,0.557276741,0.788076052
141,6,5.336,1.02081298,,,827,7.661457461,0.555068355,0.789892443
142,6,5.387,1.10996209,,,827,7.666459426,0.541765035,0.800762164
143,6,5.358,1.059269459,,,827,7.669644498,0.531492088,0.807683615
144,6,5.413,1.155410656,,,827,7.672785456,0.520623968,0.814509201
145,6,5.417,1.162402743,,,827,7.675896432,0.509427684,0.821269632
146,6,5.417,1.162402743,,,827,7.679032198,0.498088194,0.828083936
147,6,5.415,1.1589067,,,827,7.683126589,0.484570937,0.836981416
148,6,5.396,1.125694286,,,827,7.68640202,0.473384839,0.844099225
149,6,5.385,1.106466047,,,911,7.690527577,0.459250787,0.853064433
150,6,5.374,1.087237807,,,911,7.69369877,0.448550641,0.859955722
151,6,5.319,0.99109661,,,911,7.697531682,0.435710596,0.868284987
152,6,5.267,0.900199478,,,911,7.700558838,0.425841322,0.874863271
153,6,5.226,0.828530586,,,911,7.703519486,0.416086421,0.881297028
154,6,5.206,0.793570151,,,911,7.707205626,0.402454222,0.889307343
155,6,5.134,0.667712584,,,911,7.710100388,0.391084147,0.895597923
156,6,5.102,0.611775887,,,911,7.713612736,0.376589993,0.903230573
157,6,5.079,0.571571387,,,911,7.713612736,0.376589993,0.903230573
158,6,5.019,0.466690081,,,911,7.717225272,0.362140047,0.911080941
159,6,4.979,0.39676921,,,911,7.72019134,0.350712422,0.917526473
160,6,4.981,0.400265254,,,911,7.723169024,0.338882535,0.923997251
161,6,4.98,0.398517232,,,911,7.726203352,0.327144355,0.930591119
162,6,4.926,0.304124057,,,911,7.729907328,0.315419152,0.938640194
163,6,4.913,0.281399774,,,911,7.732843753,0.307874281,0.945021312
164,6,4.936,0.321604275,,,911,7.736560477,0.300083912,0.953098089
165,6,4.933,0.316360209,,,911,7.739400218,0.293921392,0.959269103
166,6,4.951,0.347824601,,,911,7.741984576,0.285785683,0.964885147
167,6,4.94,0.328596362,,,911,7.744399441,0.277273295,0.970132868
168,6,4.942,0.332092405,,,911,7.746653297,0.268954902,0.9750307
169,6,4.968,0.377540971,,,911,7.748787335,0.26051853,0.979668157
170,6,4.999,0.431729646,,,911,7.751412583,0.250709719,0.98537306
171,6,5.01,0.450957885,,,911,7.753324627,0.242437298,0.989528103
172,6,4.996,0.42648558,,,911,7.755090678,0.233893645,0.993365893
173,6,5.036,0.496406451,,,911,7.75683627,0.226550637,0.997159222
174,6,5.012,0.454453929,,,911,7.758552418,0.220364076,1.000888565
175,6,5.072,0.559335234,,,911,7.760599491,0.213506408,1.005337041
176,6,5.079,0.571571387,,,911,7.762181092,0.208754747,1.008774002
177,6,5.079,0.571571387,,,911,7.763574976,0.200277757,1.011803039
178,6,5.089,0.589051604,,,911,7.765120905,0.186265648,1.015162482
179,6,5.082,0.576815452,,,991,7.766523186,0.170180428,1.018209765
180,6,5.075,0.5645793,,,991,7.767617714,0.158569201,1.020588274
181,6,5.263,0.893207391,,,991,7.76881312,0.1523643,1.023185999
182,6,5.165,0.721901259,,,991,7.770320568,0.14730688,1.026461819
183,6,5.146,0.688688845,,,991,7.771237566,0.145800175,1.028454541
184,6,5.128,0.657224453,,,991,7.772719194,0.140734255,1.031674251
185,6,5.144,0.685192801,,,991,7.773831099,0.132175203,1.034090521
186,6,5.125,0.651980388,,,991,7.774969005,0.123888433,1.036563294
187,6,5.138,0.674704671,,,991,7.7761134,0.114272232,1.039050168
188,6,5.168,0.727145324,,,991,7.777334967,0.106071413,1.041704744
189,6,5.145,0.686940823,,,991,7.778352338,0.101746006,1.043915583
190,6,5.111,0.627508083,,,991,7.779064993,0.098498905,1.045464247
191,6,5.065,0.547099082,,,991,7.779682008,0.095835327,1.046805076
192,6,5.045,0.512138647,,,991,7.780476203,0.088879155,1.048530933
193,6,5.012,0.454453929,,,991,7.781054396,0.082145661,1.049787399
194,6,4.962,0.36705284,,,991,7.781544473,0.075271712,1.050852381
195,6,4.94,0.328596362,,,991,7.782289909,0.066429878,1.052472282
196,6,4.893,0.246439339,,,991,7.78307727,0.060025823,1.054183287
197,6,4.878,0.220219012,,,991,7.783946351,0.052874061,1.05607188
198,6,4.831,0.138061989,,,991,7.784958333,0.045317958,1.058271008
199,6,4.832,0.139810011,,,991,7.785962261,0.039209704,1.060452633
200,6,4.802,0.087369358,,,991,7.787225459,0.033505355,1.063197677
201,6,4.783,0.054156945,,,991,7.788379056,0.029813799,1.065704548
202,6,4.781,0.050660901,,,991,7.789593872,0.027159243,1.068344454
203,6,4.729,-0.040236231,,,991,7.79047039,0.022882838,1.070249207
204,6,4.691,-0.106661058,,,991,7.791924419,0.012945518,1.073408942
205,6,4.758,0.0104564,,,991,7.793113109,0.004469829,1.075992073
206,6,4.988,0.412501406,,,991,7.794618818,0.007472699,1.079264116
207,6,5.309,0.973616393,,,991,7.795962639,0.013554327,1.082184361
208,6,5.011,0.452705907,,,956,7.797754565,0.018905678,1.086078377
209,6,4.892,0.244691317,,,956,7.799239086,0.022793699,1.089304376
210,6,4.723,-0.050724361,,,956,7.799622764,0.023503649,1.090138142
211,6,4.63,-0.213290385,,,956,7.801016016,0.02837076,1.093165805
212,6,4.643,-0.190566102,,,956,7.802584718,0.036740741,1.096574737
213,6,4.64,-0.195810168,,,956,7.803812105,0.042988195,1.099241959
214,6,4.644,-0.188818081,,,956,7.805237926,0.051483736,1.102340398
215,6,4.648,-0.181825994,,,956,7.806116724,0.055891495,1.104250105
216,6,4.676,-0.132881384,,,956,7.807563746,0.062528542,1.107394614
217,6,4.689,-0.110157101,,,956,7.808633815,0.06808704,1.109719971
218,6,4.672,-0.139873471,,,956,7.809708574,0.073365835,1.11205552
219,6,4.725,-0.047228318,,,956,7.811238107,0.07960108,1.115379333
220,6,4.692,-0.104913036,,,956,7.812864148,0.085383239,1.118912868
221,6,4.661,-0.159101711,,,956,7.814248073,0.089559619,1.121920263
222,6,4.646,-0.185322037,,,956,7.815594668,0.094473917,1.124846534
223,6,4.646,-0.185322037,,,956,7.817233033,0.101626995,1.128406849
224,6,4.64,-0.195810168,,,956,7.818605593,0.107584835,1.131389548
225,6,4.649,-0.180077972,,,956,7.819975361,0.114200119,1.134366178
226,6,4.634,-0.206298298,,,956,7.821234953,0.121568129,1.137103383
227,6,4.622,-0.227274559,,,956,7.822704977,0.131909778,1.14029788
228,6,4.653,-0.173085885,,,956,7.823811274,0.141293424,1.142701964
229,6,4.659,-0.162597754,,,956,7.825119061,0.151925895,1.145543903
230,6,4.668,-0.146865558,,,956,7.825917244,0.155345905,1.147278425
231,6,4.688,-0.111905123,,,956,7.826959293,0.157662046,1.149542892
232,6,4.724,-0.048976339,,,956,7.828161136,0.158509913,1.152154606
233,6,4.746,-0.010519861,,,956,7.829102191,0.159830342,1.154199604
234,6,4.78,0.048912879,,,853,7.8300487,0.165770776,1.156256454
235,6,4.803,0.08911738,,,853,7.831210081,0.174854792,1.158780239
236,6,4.802,0.087369358,,,853,7.832129379,0.183563205,1.160777957
237,6,4.831,0.138061989,,,853,7.833196364,0.19091894,1.163096613
238,6,4.84,0.153794185,,,853,7.833987716,0.193968051,1.164816293
239,6,4.878,0.220219012,,,853,7.834756608,0.197756779,1.166487163
240,6,4.893,0.246439339,,,853,7.835693144,0.201470058,1.168522341
241,6,4.899,0.256927469,,,853,7.83654753,0.206771475,1.170378999
242,6,4.919,0.291887905,,,853,7.837467752,0.213460746,1.172378724
243,6,4.926,0.304124057,,,853,7.838657623,0.221796849,1.174964422
244,6,4.921,0.295383948,,,853,7.839644913,0.227736178,1.177109893
245,6,4.925,0.302376035,,,853,7.839887333,0.228696886,1.177636693
246,6,4.964,0.370548884,,,853,7.840863205,0.231382939,1.179757352
247,6,4.942,0.332092405,,,853,7.842157948,0.23389934,1.182570944
248,6,4.976,0.391525145,,,853,7.843227976,0.234589839,1.184896212
249,6,4.992,0.419493493,,,853,7.844230538,0.238082152,1.18707487
250,6,5.007,0.44571382,,,853,7.845195987,0.243426403,1.189172879
251,6,4.986,0.409005363,,,853,7.846383922,0.250107859,1.191754368
252,6,5.017,0.463194037,,,853,7.847313947,0.256174861,1.193775398
253,6,5.007,0.44571382,,,853,7.84829672,0.260906286,1.195911052
254,6,4.996,0.42648558,,,853,7.849301373,0.265042718,1.198094253
255,6,5.001,0.435225689,,,853,7.850536406,0.271012692,1.200778091
256,6,4.972,0.384533058,,,853,7.851411284,0.275278187,1.202679281
257,6,4.939,0.32684834,,,853,7.852049522,0.278842538,1.204066229
258,6,4.864,0.195746708,,,853,7.85253445,0.281844189,1.205120023
259,6,4.839,0.152046163,,,853,7.852886762,0.284127891,1.205885628
260,6,4.829,0.134565946,,,853,7.853172366,0.287491254,1.206506271
261,6,4.787,0.061149032,,,853,7.853330332,0.291274267,1.206849545
262,6,4.76,0.013952444,,,853,7.853289286,0.296023109,1.206760348
263,6,4.747,-0.008771839,,,853,7.853107833,0.300309146,1.206366036
264,6,4.72,-0.055968427,,,966,7.852962849,0.304765669,1.206050972
265,6,4.689,-0.110157101,,,966,7.852746854,0.310771986,1.205581595
266,6,4.678,-0.129385341,,,966,7.852447076,0.317757986,1.204930151
267,6,4.683,-0.120645232,,,966,7.85210721,0.322688853,1.204191592
268,6,4.658,-0.164345776,,,966,7.851590167,0.325702442,1.203068009
269,6,4.687,-0.113653145,,,966,7.850967866,0.327737519,1.201715693
270,6,4.702,-0.087432818,,,966,7.850270371,0.328991107,1.200199973
271,6,4.712,-0.069952601,,,966,7.849535427,0.330906727,1.198602873
272,6,4.732,-0.034992165,,,966,7.84884136,0.335418646,1.197094603
273,6,4.742,-0.017511948,,,966,7.847941517,0.342203671,1.195139164
274,6,4.775,0.04017277,,,966,7.847385605,0.346913701,1.193931116
275,6,4.782,0.052408923,,,966,7.846604943,0.352102661,1.192234668
276,6,4.8,0.083873315,,,966,7.845531684,0.354470249,1.189902378
277,6,4.792,0.06988914,,,966,7.8446547,0.355757257,1.187996613
278,6,4.844,0.160786272,,,966,7.843754831,0.355712469,1.186041117
279,6,4.871,0.20798286,,,966,7.842430515,0.357206588,1.183163257
280,6,4.898,0.255179447,,,966,7.841219306,0.359641895,1.180531191
281,6,4.854,0.17826649,,,966,7.83992027,0.361281319,1.177708269
282,6,4.889,0.239447252,,,966,7.838137287,0.36372686,1.173833685
283,6,4.862,0.192250664,,,966,7.836681261,0.365270254,1.170669608
284,6,4.834,0.143306055,,,966,7.835166036,0.366584648,1.167376888
285,6,4.84,0.153794185,,,966,7.833540318,0.368226858,1.163844055
286,6,4.85,0.171274403,,,966,7.831501386,0.370809262,1.159413272
287,6,4.874,0.213226925,,,966,7.829995206,0.373978969,1.156140207
288,6,4.857,0.183510555,,,966,7.828538781,0.377895711,1.152975263
289,6,4.827,0.131069902,,,966,7.827126253,0.382486299,1.149905712
290,6,4.827,0.131069902,,,966,7.825358892,0.386749445,1.146065077
291,6,4.833,0.141558033,,,966,7.823889175,0.387710417,1.142871249
292,6,4.742,-0.017511948,,,966,7.822473129,0.388091066,1.139794054
293,6,4.71,-0.073448644,,,966,7.820734703,0.38705434,1.136016295
294,6,4.626,-0.220282472,,,1007,7.819263205,0.38909507,1.132818597
295,6,4.587,-0.288455321,,,1007,7.81774586,0.393120464,1.129521269
296,6,4.539,-0.372360366,,,1007,7.81580972,0.398364303,1.125313862
297,6,4.546,-0.360124214,,,1007,7.814231294,0.40316222,1.121883799
298,6,4.501,-0.438785193,,,1007,7.812711411,0.405643384,1.118580956
299,6,4.526,-0.395084649,,,1007,7.811214459,0.406840497,1.115327944
300,6,4.532,-0.384596518,,,1007,7.809696659,0.408316685,1.112029627
301,6,4.575,-0.309431582,,,1007,7.808145534,0.409368885,1.108658893
302,6,4.557,-0.340895974,,,1007,7.805975889,0.412265334,1.103944059
303,6,4.617,-0.236014668,,,1007,7.804120961,0.414954023,1.099913133
304,6,4.584,-0.293699386,,,1007,7.801680014,0.418091271,1.094608733
305,6,4.648,-0.181825994,,,1007,7.799666172,0.42013677,1.090232472
306,6,4.671,-0.141621493,,,1007,7.797612029,0.421482209,1.085768634
307,6,4.69,-0.108409079,,,1007,7.795450859,0.422739108,1.081072216
308,6,4.722,-0.052472383,,,1007,7.793197724,0.423669247,1.07617595
309,6,4.775,0.04017277,,,1007,7.790971473,0.424977147,1.071338104
310,6,4.774,0.038424749,,,1007,7.788769772,0.426739002,1.066553609
311,6,4.811,0.103101554,,,1007,7.785989834,0.428919936,1.060512552
312,6,4.843,0.15903825,,,1007,7.783769978,0.430849561,1.055688604
313,6,4.859,0.187006599,,,1007,7.780852603,0.432780801,1.049348884
314,6,4.874,0.213226925,,,1007,7.778444238,0.434106331,1.04411529
315,6,4.881,0.225463077,,,1007,7.776023955,0.435522564,1.038855796
316,6,4.886,0.234203186,,,1007,7.773083804,0.437372152,1.032466582
317,6,4.85,0.171274403,,,1007,7.771014626,0.439244862,1.027970072
318,6,4.851,0.173022425,,,1007,7.769100464,0.441313265,1.023810425
319,6,4.887,0.235951208,,,1007,7.766902993,0.444095123,1.01903512
320,6,4.879,0.221967034,,,1007,7.765229514,0.446554193,1.0153985
321,6,4.835,0.145054076,,,1007,7.763610715,0.449206019,1.011880703
322,6,4.871,0.20798286,,,934,7.761836161,0.452931546,1.008024437
323,6,4.842,0.157290229,,,934,7.761506131,0.453729764,1.007307251
324,6,4.88,0.223715056,,,934,7.760233135,0.45713723,1.004540917
325,6,4.826,0.12932188,,,934,7.758879243,0.460913729,1.001598787
326,6,4.859,0.187006599,,,934,7.757522961,0.465082192,0.998651462
327,6,4.837,0.14855012,,,934,7.756216575,0.469648617,0.995812569
328,6,4.862,0.192250664,,,934,7.75466625,0.474623222,0.992443572
329,6,4.879,0.221967034,,,934,7.753634776,0.476205973,0.990202085
330,6,4.883,0.228959121,,,934,7.752703194,0.476521648,0.988177674
331,6,4.855,0.180014512,,,934,7.751634998,0.475291581,0.985856387
332,6,4.874,0.213226925,,,934,7.750751274,0.477124045,0.983935975
333,6,4.845,0.162534294,,,934,7.749802857,0.482255489,0.981874979
334,6,4.852,0.174770446,,,934,7.7488811,0.488141769,0.979871917
335,6,4.877,0.21847099,,,934,7.747710281,0.497769433,0.977327622
336,6,4.811,0.103101554,,,934,7.746832864,0.501023176,0.975420915
337,6,4.79,0.066393097,,,934,7.74599538,0.501146889,0.973600986
338,6,4.78,0.048912879,,,934,7.744919774,0.50094406,0.971263597
339,6,4.789,0.064645075,,,934,7.744111022,0.500041934,0.969506107
340,6,4.751,-0.001779752,,,934,7.74348172,0.50355839,0.968138576
341,6,4.712,-0.069952601,,,934,7.74286383,0.511061635,0.966795844
342,6,4.693,-0.103165014,,,934,7.742483239,0.517663025,0.965968786
343,6,4.683,-0.120645232,,,934,7.742173028,0.523432236,0.965294669
344,6,4.696,-0.097920949,,,934,7.741867479,0.525368154,0.964630685
345,6,4.672,-0.139873471,,,934,7.741632719,0.525863621,0.964120529
346,6,4.637,-0.201054233,,,934,7.741499508,0.525937676,0.96383105
347,6,4.625,-0.222030494,,,934,7.741307647,0.527367655,0.96341412
348,6,4.601,-0.263983016,,,934,7.74094039,0.533387096,0.962616036
349,6,4.59,-0.283211256,,,934,7.740364713,0.543376804,0.961365038
350,6,4.583,-0.295447408,,,934,7.739781468,0.553432279,0.960097595
351,6,4.568,-0.321667735,,,928,7.73909383,0.559906871,0.958603294
352,6,4.577,-0.305935539,,,928,7.738697967,0.560298646,0.957743048
353,6,4.594,-0.276219169,,,928,7.737904727,0.560390422,0.956019265
354,6,4.568,-0.321667735,,,928,7.737056003,0.557721083,0.954174912
355,6,4.588,-0.286707299,,,928,7.736455184,0.558883677,0.952869279
356,6,4.549,-0.354880148,,,928,7.735885985,0.561463718,0.951632356
357,6,4.527,-0.393336627,,,928,7.735325327,0.562667745,0.950413995
358,6,4.539,-0.372360366,,,928,7.734616886,0.566392533,0.948874491
359,6,4.555,-0.344392018,,,928,7.733945817,0.572628163,0.947416195
360,6,4.539,-0.372360366,,,928,7.73324217,0.581218688,0.945887109
361,6,4.54,-0.370612344,,,928,7.732530645,0.592521595,0.9443409
362,6,4.574,-0.311179604,,,928,7.731768747,0.602725324,0.942685226
363,6,4.627,-0.218534451,,,928,7.731269131,0.603971936,0.941599515
364,6,4.658,-0.164345776,,,928,7.730883468,0.603028242,0.940761436
365,6,4.667,-0.14861358,,,928,7.730644639,0.60100122,0.940242437
366,6,4.67,-0.143369515,,,928,7.730644639,0.60100122,0.940242437
367,6,4.65,-0.17832995,,,928,7.730474402,0.605693376,0.939872497
368,6,4.688,-0.111905123,,,928,7.73038957,0.613148666,0.93968815
369,6,4.693,-0.103165014,,,928,7.730440448,0.620302739,0.939798712
370,6,4.703,-0.085684797,,,928,7.730436245,0.626031628,0.93978958
371,6,4.662,-0.157353689,,,928,7.730380228,0.62990313,0.939667848
372,6,4.606,-0.255242908,,,928,7.730317646,0.636030846,0.939531852
373,6,4.502,-0.437037171,,,928,7.730240168,0.640836121,0.939363487
374,6,4.444,-0.538422433,,,928,7.730279144,0.645272213,0.939448184
375,6,4.34,-0.720216697,,,928,7.730418859,0.650609502,0.939751799
376,6,4.295,-0.798877676,,,928,7.730498943,0.653376196,0.939925828
377,6,4.25,-0.877538656,,,928,7.730649867,0.657129636,0.940253798
378,6,4.176,-1.006892266,,,928,7.730626669,0.658760535,0.940203387
379,6,4.172,-1.013884353,,,928,7.73050608,0.659152503,0.939941336
380,6,4.136,-1.076813137,,,928,7.730291183,0.657979237,0.939474346
